Key,Value
"
What is the term for this question: What happened or what is happening? - ","Descriptive Analytics
"
"
What does a program manager do? - ","Make hiring decisions

Functional manager

Solidify day-to-day activities needed for completing the project on time
"
"
What is a key driver for a project? - ","One of the three aspects of the iron triangle that is more important than the rest.

Example: Time is the most important factor in obtaining someone's wedding cake. Quality and Cost can slip, but it HAS to be perfectly timed.
"
"
What are drawbacks to having in-house data? - ","May not be well documented
May not be well maintained
May not exist
"
"
What are positives to having in-house data? - ","Fastest way to start
There may not be as many restrictions
You can talk with the creators of the data
"
"
In what phase does the analyst deal with the following: 

Fixing improperly formatted values
Dealing with duplicates, missing data, and outliers
Data reduction - ","Data cleaning/wrangling/scrubbing/munging
"
"
What tool is used for data analysis and statistical modeling? - ","R
"
"
What is a technique used to identify unknown groupings among objects? - ","Clustering
"
"
What is a project sponsor? - ","The project sponsor is responsible for identifying a project topic/scope that is well aligned with the strengths of the data analytics project and for providing access to necessary data and key support staff for continued project progress monitoring and timely feedback. 

The project sponsor is essential to a project as without their support, a data analytic project can promptly hinder progress or completion.
"
"
Which tool poses problems handling very large datasets? - ","R
"
"
What is Bayes' Theorem? - ","Diagnosis is based on probabilities
"
"
What is a stakeholder register? - ","A project document that has information about the project stakeholders. It identifies the people, groups, and organizations that have any interest in the work and the outcome.
"
"
What does the role of research lead include? - ","From the business side
Leads research of data
Identify key problems
Knows the most about the business

Actions they take: 
Find assumptions
Drive questions - Is there a better way?
Know the business
"
"
Which tool can easily perform matrix computation as well as optimization? - ","Python
"
"
What is the ""Medici effect""? - ","Crossing diverse opinions positively affect other opinions
"
"
This phase deals with pattern matching in large amounts of data. - ","Data mining
"
"
What software tool allows stakeholders to view and interact with the data? - ","Tableau
"
"
What is a potential problem in the data mining/supervised models step? - ","Running on entire data is problematic; need to subset data into training and testing datasets to build models.
"
"
In what phase does the analyst deal with the following: 

Creating training and testing datasets to build models from
Identify/detect patterns
Determine if groups (clusters) exist in data
Classify data into groups
Create models that ""learn"" and improve (e.g., machine/deep learning, AI, etc) - ","Data Mining/Machine Learning/AI/Supervised, Unsupervised Models
"
"
Why is ""Maybe"" a terrible answer? - ","Because you didn't say yes, but that's what the client heard.
"
"
What is the main reason projects fail? - ","Inadequate sponsor support
"
"
What is often missed by the analyst and should be considered before any data analysis is begun? - ","The business needs of their organization.
"
"
What does the role of the data analyst include? - ","Obtain data
Scrub data
Search for trends or outliers
Display data in reports
"
"
What is used in order to connect relational tables? - ","Keys
"
"
What is Principle Component Analysis? - ","Combine multiple, correlated variables into a single component
"
"
Read this IRAC story snippet. What step in the IRAC process is being performed?

""Target knew intimate data about a person based on shopping habits"" - ","Issue - the legal issue to be discussed
"
"
Read this IRAC story snippet. What step in the IRAC process is being performed?

""There may have not been a legal violation, but it was still highly unethical."" - ","Conclusion - State the most likely conclusions using the logic of the application section and whether there has been a violation
"
"
Google Trends is an example of what kind of data? - ","Open Data --> Social Media
"
"
What technique combines variables into meaningful groups? - ","Principal Component Analysis (PCA)

For example, suppose a business gives a survey with 20 questions on customer service. The analyst might not want to analyze each individual question but rather consider the overall sentiment of the survey. The analyst might perform a PCA and see that the 20 questions group into 3 groupings (e.g., ease of effort, issue resolution, and respect). The analyst then could collapse the 20 data outcomes to just 3 and analyze these instead.
"
"
What is a very important privacy law put into place by the European Union that will likely be on the test? - ","GDPR - General Data Protection Regulation
"
"
What three factors are stakeholders mapped by? - ","Urgency
Power
Involvement
"
"
What is a potential problem to consider in the planning phase?
A. Lack of clear focus on stakeholders, timeline, limitations, and budget
B. Quality and type of data may make access more difficult
C. Some cleaning techniques could dramatically change data/outcomes
D. Outliers not dealt with can cause problems with statistical models due to excessive variability. - ","A
"
"
How is law confined? - ","It's confined to the territory or the place that created it, not the technology.
"
"
What type of curve starts off big in the beginning and then tapers off toward the end? - ","Positive skew 

Valuation at companies, the cost of houses
"
"
This term deals with doing the right thing with data, considering human impact from all sides and making a decision based on your brand values. - ","Data ethics
"
"
What is one popular way to show causality? - ","A/B Testing
"
"
What is the best way to provide a concise summary of the quartiles of numerical data? - ","Boxplot
"
"
What is a potential problem in the data acquisition/query/collection step? - ","Quality and type of data may make access more difficult
"
"
What type of data would JSON, XML, Email, and Web pages be considered? - ","Semi-structured data
"
"
What type of curve starts small at first and then grows near the end? - ","Negative Skew

Birth weight
"
"
What are the three points of the ""Iron Triangle""? - ","Quality

Cost

Time
"
"
If you're needing to crash a project (speed up the project to get it done on schedule), what are three ways to do it? - ","Money up
Quality down
Overlapping tasks
"
"
This phase enables predictions of outcomes of interest. - ","Predictive Modeling
"
"
Which is a technique in which the analyst wants to assign an item to a specific category based on various conditions? This technique also identifies an unknown object among known groups.

Examples of this would be object detection, spam detection, and cancer detection

LOCATE, COMPARE, ASSIGN - ","Classification
"
"
Data quality is measured in terms of this: - ","Uniqueness and relevance
"
"
How and where should the safety margin (halfway amount between average time completed and slowest possible time completed) be added? - ","Spread throughout the critical path
"
"
What technique utilizes decomposition to help break down different reasons for varying data? - ","Time Series
"
"
In what phase does the analyst deal with the following: 

Tell a story with data
Provide a summary of analytic analysis
Provide insights to stakeholders
Create insightful graphs that showcase trends and forecasts - ","Reporting and visualization/Dashboards
"
"
Read this IRAC story snippet. What step in the IRAC process is being performed?

""Privacy laws inhibit the use of personal information for corporate use"" - ","Rule - state the relevant case laws and statutes
"
"
What are three ways to collect data? - ","Natural observation
Formal interviews
Surveys
"
"
What is a term used to describe Central Limit Theorem? - ","""The wisdom of the crowd""
"
"
Which tool has programs that integrate with web-app for easy deployment? - ","Python
"
"
What are the most important drivers to a data analyst's team? - ","Questions
"
"
What is ""Tidy Data"" and what does it consist of? - ","Properly prepared and easy to interpret data.

Column = variable
Row = case
One sheet per file
One level of observation
"
"
What type of graph shows frequency or interaction using a range of colors? - ","Heatmap
"
"
In what phase does the analyst identify the stake holders and research questions? - ","Business Understanding/Planning/Discovery
"
"
What type of skew would a polarizing movie get - where the beginning and end points are very high, with a dip in the middle? - ","U-shape skew
"
"
Timely communication is vital to a project, and what applications are available for such a thing? - ","Slack

Teams

Jira
"
"
For example businesses may be able to use a Twitter API to pull in Twitter data in what kind of format?

What level of structure is the data? - ","JSON

Semi-structured data
"
"
This phase often relies on the use of data visualization tools and numerical summaries, such as the measures of central tendency and variability. - ","Data Exploration
"
"
What are two potential problems in the reporting and visualization/dashboards step? - ","Due to potential large audience consumption, mistakes can cause bad business decisions and loss of revenue

Improper scales used in graphs could push for interpretations of the story that is inaccurate
"
"
What are potential problems in the Predictive Modeling step? - ","Too many input variables (predictors) can cause problems

Correlation does not imply causation.

Time series models often need sufficient time data to offer precise trending.

Predictive model accuracy should be assessed using cross-validation.
"
"
Read this IRAC story snippet. What step in the IRAC process is being performed?

""Since it was based solely on shopping patterns and not private information, there was no legal breach or violation"" - ","Application - Apply relevant rules/laws to the facts that created the issue
"
"
Which tool can handle very large data easier? - ","Python
"
"
What type of graph allows a way to graph numerical data in ""groups"" or bins that allow bars to represent frequencies? These graphs also best show outliers in data and skewness (asymmetry of the data). - ","histogram
"
"
If an analyst wants to help create an online store that intelligently recommends certain products for customers to buy, what type of analysis would they be focusing on? - ","Predictive (because they are predicting FUTURE habits)
"
"
What is the term for this question: What will happen? - ","Predictive Analytics
"
"
Which is a technique that allows us to predict an outcome (either numerical or categorical) based on a set of predictor variables?

Examples of use would be house pricing, sales, and a person's weight, churn of employees. - ","Regression
"
"
Why is 80% of data science the preparation step? - ","Because if you put garbage into an analysis, you'll get garbage out (GIGO)
"
